Consumer_Key,Affinity_Key,Affinity_Category,Affinity_Subcategory,Affinity_Value,Affinity_Type,Affinity_Score,Affinity_Last_Modified_Date
5d5c803b94e20ad4f275749df6c156d89ff59228aa3fbdf64982b00fc5ecc0fc,2b7d9dcae326b958a40a2f4db27f65dc483f92ae637b02ad9c3e23ffa1ba2a76,Arts and Culture,Arts and Culture,,Declared,10,2020-04-18T20:39:23
5d5c803b94e20ad4f275749df6c156d89ff59228aa3fbdf64982b00fc5ecc0fc,6e35ceff7fc5cacaf1a66c0273bb425bb3c691e12e09744d2fc365e524d8db28,Food,Gastronomy,,Declared,10,2020-04-18T20:39:23
bfdd50faa4d9824217ae792b4b80956e1048e5cacb25f0fa667673566bf3549a,c8b605382ae93c7ef7a833d02ac7c8c631352db4444d3d105cc8982a37758737,Sports,Other,,Declared,10,2020-04-18T21:17:55
bfdd50faa4d9824217ae792b4b80956e1048e5cacb25f0fa667673566bf3549a,bf5dbfe0fc4c5592e4e916a938cc6bb8c32af36c2fdea4e2dcc91db7a2dcd8d5,Music,Music,,Declared,10,2020-04-18T21:17:55
bfdd50faa4d9824217ae792b4b80956e1048e5cacb25f0fa667673566bf3549a,e4957d2457803177246f686ab60e3170d0bea19dc8cb8267532f3db8eba9a847,Arts and Culture,Arts and Culture,,Declared,10,2020-04-18T21:17:55
bfdd50faa4d9824217ae792b4b80956e1048e5cacb25f0fa667673566bf3549a,39e63d6389866f9695e2a22d2c14b7ca23fa02731c774afb713b1e2d285a411d,Food,Gastronomy,,Declared,10,2020-04-18T21:17:55
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,ea79bdc53e9f4ebf5215dec8ee4d4ae714558d9ad640ea93c8fd0ae41c536122,Alcoholic beverages,Beers,,Calculated,5,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,bcadae1ae65472ed196194be6aa40d9108e1082b86c77882807a3a59ac781d5f,Food,Gastronomy,,Calculated,6,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,1951b414edc1dcd0fb3254f9453a45aeca0e5e532572b84b6690397599e6abd4,Food,Cooking and Recipes,,Calculated,8,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,9eead442e5aabbc2414903c00053d69c1802631c8b312ebc6af7618518aece25,Food,Snacks and Nuts,,Calculated,7,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,5c7431246caf22b088bda49e30ee9a9a35a8d66eec4ddfafd3996cea3d04fe2d,Food,Canned and Ready-Cooked Meals,,Calculated,8,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,ee77fb57aea468235ed2f50c6382ecf8a1d1075ceb72a7fd06acb6e74b926fab,Alcoholic beverages,Gin,,Calculated,4,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,b7784cf4e6b1d5e18c706840b419f3c9041691340268ac58ae9d10775eab964a,Alcoholic beverages,Spirits,,Calculated,6,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,b9ab6633c906230e0c8e8816a9c9f5109a41d110b48b203e9285892e8475947c,Alcoholic beverages,Wine,,Calculated,10,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,300d7c428fbce597affc91d77e7c1990ac4ff9c33a158b8949da8f66aa8d6ee7,Arts and Culture,Higher Education,,Calculated,4,2020-05-25T22:01:04
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,42fa47ca344f54319e883dfe15f120c729e9977d543f666c6dd407201fdf305c,Music,Bands and Musicians,,Calculated,5,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,010e8adf786a475280d48f6f142f8d9d97c5dd5874d314372284e8d0fd20e5a8,Media,Newspapers,DIARIOS,Calculated,5,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,146bb8a9031d43e0255af96a2a701fef1887cdd6bcbe2db390ab2b75966423dc,Media,Magazines,,Calculated,6,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,ecf2d7201c1837e87c06873a0769e87a975a57ec0bc539ba9507d6c692b8b8db,"Health, Hygiene and Wellness",Sun Protection,,Calculated,4,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,8932f0b6fdf1fd7991bce392fe03704655c256b7f109d045c148bc4870d337e2,"Health, Hygiene and Wellness",Well being,,Calculated,7,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,18549cfec8de3539dbecfd8b1655fb7ef87bcb9140c6ae5a695edc05e755f4be,Sports,Fitness Lovers,,Calculated,3,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,a0dfc57c6c60029c84bad5d1cd9ea40d2a61e17c469873c18e9dd5a59ce9b0d0,Food,Vegans,,Calculated,4,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,d25f39bc5b4bc07bd864dee708e72c2cf56949f0aaaf9b8caf9f4a46331168b9,Food,Healthy Food,,Calculated,4,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,4af5eaf5b7f1c90794709c23c25ae5b6e6b489e5210e84ca2f720f00f0972199,"Health, Hygiene and Wellness",Pharmacy,,Calculated,7,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,31f0a2965f90f42a29841ce0cd60f4ad2bb423a32648745e0ae3bece8da17617,Home and Housing,Household Shops,,Calculated,8,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,8ec8b8b96aed582c1d7c6068cbe830570507eab550909563c13798213859c997,Electronics and IT,Shops,,Calculated,3,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,8ec8b8b96aed582c1d7c6068cbe830570507eab550909563c13798213859c997,Electronics and IT,Shops,,Calculated,6,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,21c0ef5d801af54791651896baddc8de534123eaa957d9fabb3a9804cab02b67,Sports,Shops,,Calculated,5,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,681103b341466c3f7757b49922b234f6402c3b3a09bb2abe09791882b178a06a,Shopping,Shopping Centers and Malls,,Calculated,6,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,31f0a2965f90f42a29841ce0cd60f4ad2bb423a32648745e0ae3bece8da17617,Home and Housing,Household Shops,,Calculated,10,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,8ec8b8b96aed582c1d7c6068cbe830570507eab550909563c13798213859c997,Electronics and IT,Shops,MOVILES,Calculated,6,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,8ec8b8b96aed582c1d7c6068cbe830570507eab550909563c13798213859c997,Electronics and IT,Shops,,Calculated,8,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,21c0ef5d801af54791651896baddc8de534123eaa957d9fabb3a9804cab02b67,Sports,Shops,,Calculated,4,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,3e6972431deb7deb5f071fe954f69ab40623ddc886eecac5cf7d1e5ec9ebbad3,Fashion,Brands and Shops,,Calculated,8,2020-09-21T22:01:37
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,40b994eac252f5c4d43b4c079b9e08c11e863504705bca24f6458221eaa695b2,Sports,Motor,COCHES,Calculated,5,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,940b2611bb7b62e4786118209a4ec750fe78b0bbc9b83bb9649b111b77a85e73,Sports,Teams,,Calculated,1,2020-05-25T22:01:04
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,4bfc749b295588990dba3a14c67e5bd8287a67d32b9e92169dcc9c25e27b8693,Travel,"Countries, Cities and Other Places",,Calculated,10,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,96e70c6d8c4dc0a482ddac8bb6ffb1c767e561cf42dda15725de55ed03a3ba4d,Travel,Travel Agencies,,Calculated,5,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,062fcc75e70ecc49919c4875f0806f5cd92285de75a9ffc23a56037be97cf36f,Travel,Hotels and Apartments,,Calculated,6,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,7ddc6da55fdc5d19ef42fcf0da2c4a998813bb2b13e52c013a9da9555fa37340,Shopping,"Discounts, Promotions and Coupons",,Calculated,10,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,276a3b72a2bd7f9da6cb5a950a3dc21816793513cbab7a7844eade15f9471fa1,Shopping,"Loyalty, Catalogue, Private sales",,Calculated,6,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,ecd74d8488b96f0c44273fbfd7c38f5de3fcfe71619f3a71c97c71373c722ebb,Technology and Internet,Social Media,,Calculated,4,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,49d166f424b423a24ca5ca0f673da1c296fc6467ebd2b991bbf0154a8382a78f,Technology and Internet,Internet,,Calculated,6,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,5557572d21aa69f93bcb9e4b5a4f3c4b2a38883fd71b24c45f314020eee5e123,TV and Radio,Shows,,Calculated,1,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,44fe5618e0eb9af944ca6c2a16615c7d54fbfb136f4394280c3c0435a314ffc3,TV and Radio,Radio,,Calculated,3,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,2b053e619e9c7e5e980bf2bd211e6f7aae51045e24464bc78aa8fea183a9636a,Leisure and Entertainment,Comedy,,Calculated,2,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,50961e3322890b5b360d69dd7420554fc4119456e62a3ec5aa160d4728bfbb09,TV and Radio,TV Channels,,Calculated,5,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,dcf01bca1b3870b63d5183952284d0631bf5c6c0c442baf9cc25aff6771c2b7e,Technology and Internet,Technology and IT,,Calculated,7,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,17d475d888f776c4bbec3fad2bd54e2715999379a35e5ec030a0240b40ed3976,Leisure and Entertainment,Bars and Restaurants,,Calculated,7,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,9828edc2d3a2ff3d82b0380245d635ad2e7d2d3383316f4e97542b4a5d79e376,Consumption_Behaviour,FIESTA,,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,a1d80add30c9fcb28abc11bfa005bd53d747a8ca69885b60757e303134d34732,Consumption_Behaviour,COMIDA,,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,584eb1dde5f8c088bd69a79daf32fae7816919ec84c7d54b73d437525bee6c61,Consumption_Behaviour,CENA,,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,1a66e23efd783fac933ff46f5e4326111afc003e7a1dcd0a92083f302c7cb001,Consumption_Behaviour,APERITIVO,,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,1f90fcda8b049e73a9eecd68c5d04b62a4524b492e1fb1329b17ef9b0fee10b8,Consumption_Behaviour,FIN_DE_SEMANA,,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,e1c6fbfde536bba06ef9c15c3a3707f34760a68c2ab7098516804716e40c4a5a,Music,Music,,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,bcadae1ae65472ed196194be6aa40d9108e1082b86c77882807a3a59ac781d5f,Food,Gastronomy,,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,4a77ef6715cc134d5df8b7ad547c0bfdf4ec34cf09bb634759a4b583d12c40ea,ALCOHOLIC_BEER,AMBAR,AMBAR,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,ea5201ba9b42525ceaddbac4c4e3b51ad2c521a89bfec8f5cf6214414ce6c1ca,ALCOHOLIC_BEER,ESTRELLA_GALICIA,ESTRELLA_GALICIA,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,65dfccd252cd5b7b53ccd0e6e2a553363c3d6dc805f8c90d5544f41512205fdb,ALCOHOLIC_BEER,SAN_MIGUEL,SAN_MIGUEL,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,15b1b177921780ccf5ce5a0a07796d396c4a123855372a1baa0a957d09950590,Shopping,Shops,MERCADONA,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,15b1b177921780ccf5ce5a0a07796d396c4a123855372a1baa0a957d09950590,Shopping,Shops,EROSKI,Declared,10,2020-08-20T13:14:05
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,ea79bdc53e9f4ebf5215dec8ee4d4ae714558d9ad640ea93c8fd0ae41c536122,Alcoholic beverages,Beers,Cruzcampo,Declared,10,2020-09-27T22:01:12
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,a7a7f2bf56d7b09100e0e7725d184d46a14e83a1347c3d0f91dc10f822cf119d,Sports,Sports,,Calculated,6,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,9f1eebd504eb6358407268d66f57b662bfee98375791710b04d68f9e73c97791,Sports,Athletes and Sports Personalities,,Calculated,1,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,205fdb3f1d68943aa523c8c6c92536ea3463357354f2c26cd9ca6b653ae50afb,Shopping,Interested in eCommerce,,Calculated,4,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,f86ab8a1111a6a0818ad307ea4e3f7e0cb8b250d18bea4a9bfdef37e2e3819ef,"Cinema, Theatre and Musicals",Actors,,Calculated,2,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,d4bec5f495b58a1e6b358ef44c85bf9d8b02e9ba5b4d530b380b17bad51f8dfb,"Cinema, Theatre and Musicals",Movies,,Calculated,5,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,c6811f41eeab4299a9cc9cba7d0227a94f87dc35d7f5ae0b73e929bd62d396f9,Soft Drinks,Refreshing drinks,,Calculated,4,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,3c9324f0faf64fe6cda6a644811afa920e372b145fc29afa94e791afb4120fdf,Women,Communities,,Calculated,5,2020-09-21T22:01:38
9bdd15048fd73ae0ede8f3bc1b41aca132ced725bf33d3dc4ff8532592a908c1,d0770eec5018c88eba28a27e5921986228592263a1bf2ef709ed8667a644406b,Technology and Internet,Apps and Online Games,,Calculated,2,2020-09-21T22:01:38
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,e033450394d488262bee9bfff64de2002b9bb0857e28d9755440233440b89e17,Alcoholic beverages,Beer Culture,,Calculated,4,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,e6930de16ba00faa889cc0eb4b9f729033ccc939cc76047453a1066616a40b5e,Alcoholic beverages,Beers,,Calculated,6,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,dd070e7fafe2e90a830b564d6f12ea0d7c331e899b645d5ef9351e908eb9e90c,Food,Gastronomy,,Calculated,6,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,d9ab646e55c5cea8eff20906941957db3e299ac7cedfe3677d6eb6465546d8d0,Food,Cooking and Recipes,,Calculated,7,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,c3381c46ea49b7f204da184e65e50937dbd218abe78da71dab89b25a82a42621,Food,Gourmet products,,Calculated,6,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,b2175613e892a73889189266cb7bf8c18791560bd9bfaf2219bedfa92dd6aa4a,Food,Snacks and Nuts,,Calculated,6,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,75a246d2b7b35d1b36af875a4ba094b3d8d945548378c6007335f26c3819482e,Food,Canned and Ready-Cooked Meals,,Calculated,4,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,20947c7a11c89a93819cdb8507871a7af2bd2ca4d50a6d1b9d5b1ea80a259304,Food,Healthy Food,,Calculated,10,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,0ff194089d0e350acb846afba6ac7cd8d896ec1fb48ed9ea27b17450ecb69273,"Health, Hygiene and Wellness",Well being,,Calculated,5,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,14c8825b39d0736fda09c92bb72d7e517f4d6091a38ebd5dfed455cb32d03ba6,Sports,Fitness Lovers,,Calculated,3,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,4ef014a98edde42209703dc3626dd37dc054a227b6c851f3ae42cf4b7681e8ef,"Health, Hygiene and Wellness",Pharmacy,,Calculated,6,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,d9033c9b541fb7a47f5e373d8412b9e7d84dc59f76561560676cf888a71d7dc7,Home and Housing,Household Shops,,Calculated,6,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,d7540033a5d13124685d8a76972830de5ae3173a62fefa7fcdb30b36ee51720c,Electronics and IT,Shops,,Calculated,3,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,d7540033a5d13124685d8a76972830de5ae3173a62fefa7fcdb30b36ee51720c,Electronics and IT,Shops,,Calculated,4,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,6fe51a1be64b8a35afc3b11a8cd5a3e1ddad4d4ed037e6e31a67c15f170a4f4e,Shopping,Shopping Centers and Malls,,Calculated,4,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,d9033c9b541fb7a47f5e373d8412b9e7d84dc59f76561560676cf888a71d7dc7,Home and Housing,Household Shops,,Calculated,10,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,d7540033a5d13124685d8a76972830de5ae3173a62fefa7fcdb30b36ee51720c,Electronics and IT,Shops,MOVILES,Calculated,6,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,d7540033a5d13124685d8a76972830de5ae3173a62fefa7fcdb30b36ee51720c,Electronics and IT,Shops,,Calculated,9,2020-09-21T22:01:12
32d3860fd52fcab56f7e09689f5fc432b834615934cb0d45515ed62d32a1d530,0fbd22e61629c2136c36fb19c475e5101ccfc3314d81d69cabe63da13ee6fe91,Fashion,Brands and Shops,,Calculated,6,2020-09-21T22:01:12
