Consumer_Key,Consent_Event_Key,Data_Collection_Type,Consent_Sub_Level,OpCo,Legal_Text,Consent_Date,Data_Use_Purpose,Consent_Status,Data_Use_Channel
4137bcfdd73d2abf8b48aaee4dd7a3a7c7da6803a5c29c4326def71b42399700,6d8fddd66b20277d6837fdc52a4073d36d9e17ecfc14010e99912a4b510d11ed,First Party,,ES001,,2021-11-04T18:50:57,Marketing,Opt_in,Omnichannel
eb86f048ded729e358e19e17ec5eb6c5f015fe8dc733965f9ae657d78e8e6767,621e22c106cfa4496b7e6607fdc53e24444ee637b8d774dcccd4b1a35c6001e3,First Party,,ES001,,2022-02-28T09:22:13,Marketing,Opt_in,Omnichannel
1b24d320c53e6961873dd06e4f63b6ce77df79dbdef265a7167c7ba86c3f35a6,f4ec7e782ce8ba55dce88aafb203161fa1f5df2fa1de5954bbb598594d8b652c,First Party,,ES001,,2021-11-04T16:49:23,Marketing,Opt_in,Omnichannel
92be8caf4abac33fd3e59f80a63a6416642082b433377d57673fe4cab4bc4277,577c56b94fc940bce701203ecb5fd5c2c0754b94e024c6e464fc2f814c632bb5,First Party,,ES001,,2021-11-04T18:36:48,Marketing,Opt_out,Omnichannel
171d126bec495c29e062c8f12beafcc736d45db3785ab77730cf3c28a97ef561,7b582dfa0bd0513e5f4ed393413438858ef4d89171997e04146d4d7f35517714,First Party,,ES001,,2022-01-19T16:52:02,Marketing,Opt_in,Omnichannel
8535427a076d57bfd41d9b68f941cb741fe11842e3ca932d439eacae3146bfe6,63558fcd5a6910e3116dcd32c8215f3bea6db0c30256ed9050b8f37b6b8a7dae,First Party,,ES001,,2021-11-04T18:51:14,Marketing,Opt_in,Omnichannel
ff99b310c59e65a37cddf5b654f7324a6d62164dfae381372760235bb63330a6,1c2eca6a2a7927f10407a09c969e4eeae952f5c455b360a931908caf44cea5ec,First Party,,ES001,,2021-11-14T18:19:45,Marketing,Opt_out,Omnichannel
a2020a26161ca623a7bb8b2f538c1021e554e02f94abd98e9ce6e9ebf2d031eb,fbd24717b517ed62de645043c9605f6095f9e840d9e04e27cbb1b52227e21fb3,First Party,,ES001,,2022-02-26T22:32:22,Marketing,Opt_out,Omnichannel
93ec997293d6d72c9dd76cae337fccfdca93a86a67cab99f5979afef6bd95b15,625d5f71cbcb5ab4df5b5a42a4fdedb2ba8b7767873d811745ad0088ee7d3eca,First Party,,ES001,,2021-11-04T16:57:45,Marketing,Opt_in,Omnichannel
1c911908787e517aaefb27cb7e7bada4df3c81a35525cb8c1d5acf2ba897a5d1,dbe1cb727ae773fe0e778da448626e38c69d9de45f6699d6043ccbc619274add,First Party,,ES001,,2022-02-19T13:35:54,Marketing,Opt_in,Omnichannel
cdcdb3bc9af69d4f02c78316e610e0b94ae5a2b2dee721067a3864337354510b,a94d7481bf9e6ab9649f1c4c606206adaa0599593680fbe17c51dacbc8ca34f2,First Party,,ES001,,2021-11-04T11:14:35,Marketing,Opt_in,Omnichannel
0ffc3c8877a09b7aad625d94313158bf32c67a0e3878c777e75a86df8818814c,fa79d487665ba605f886a72f86559c22df01bc69f23184474fae459a70d28dfe,First Party,,ES001,,2021-11-24T14:30:03,Marketing,Opt_in,Omnichannel
c2a37974cc50716296c17b9cc96bd36e2d959efbf32930f3362273b20e3f504a,02c4b9aa85e92d8cc60980b9b65733d505320832e70aa3a9378a5fcfa302f78a,First Party,,ES001,,2021-11-26T18:42:28,Marketing,Opt_out,Omnichannel
20c1f4210c2fd66e6515d99f8e0cc1ed92d639d038fa13844de9d32bb0bff33f,013a3b7dd89401dd07bdab1e2c48a66de96fedb09a86221db70e8b8461a61cd1,First Party,,ES001,,2021-11-04T13:09:50,Marketing,Opt_in,Omnichannel
f07588a0a35a4c5f94547ba96f2face696c998f7d1a3936f5f7b903c3dc33997,f87c4157f6de0658e446cfe7c6e4dada271b7c27e67e7b32e00ad5e84309c9fe,First Party,,ES001,,2021-11-04T08:59:19,Marketing,Opt_out,Omnichannel
a017a1f9bf7bee6f122e4727c1766bf70a237d87ba94c71f1ab24c99b0649140,3ab9a5eae4c721fc5785d18a94efcefd1edda4117e278fd69532650c3eff6be0,First Party,,ES001,,2022-02-27T18:29:06,Marketing,Opt_out,Omnichannel
bf2b16261699e6e07d49e02512f9da3d8c25b914a0854f07810e5fecd9851344,6c6833ad50b37e5c664bd8fcc1cd630b8df12b856e14cf78e0f59f6c20bdbdda,First Party,,ES001,,2021-11-14T18:23:31,Marketing,Opt_out,Omnichannel
037468d69722a2137a86c6cd2eadb2a787f6fb02afd3364e7f629b0c087fbe63,e922588c03bf896ed7a8f454d34d7030841baaa6028b33063f914e4f55ae4498,First Party,,ES001,,2021-11-04T18:53:57,Marketing,Opt_out,Omnichannel
69363aee140171625ca9cb1ac8b5890755323897538c7f0f1e4f7de6e221757d,5039146624fd6436ce7b0de5da5ffa3b83a18c03eb48f61bcb250ba380316936,First Party,,ES001,,2022-02-01T23:31:05,Marketing,Opt_in,Omnichannel
855c245387b8ad23690aeb324fa6386538b87e75578546e9d5c277818077b672,7f4c337fdbe5594d7ef8beb198b231561d95a244faf5a34982330d1ac8a9c91f,First Party,,ES001,,2021-11-13T19:22:21,Marketing,Opt_in,Omnichannel
7e064a84f7fad5b285dfbe436ef77b41d5823edc5ae96ed79b834bf45aa21b2f,6232b0fc81886d6c2d910757057f22937d10fbad6f9fb4c74f3e6df71074fa09,First Party,,ES001,,2022-01-20T03:26:40,Marketing,Opt_in,Omnichannel
32cf9b6760f36dea0207a87cd9f48b06815002dcf100f2a933a1e991c4e5b622,84edbea7649ecaf5a06b65dc9873a6bc82bac313b23ef605e89f96ca4c288fad,First Party,,ES001,,2021-11-04T14:45:06,Marketing,Opt_out,Omnichannel
ae5019bde790465d7c709247666a29b6486c5a8fb4cd17f136912ef17cd27b84,152c32900c541f0e127562626ae2b65cbeee92b2042ea66a12f73294dbfc9d48,First Party,,ES001,,2021-11-04T15:35:17,Marketing,Opt_out,Omnichannel
0b27cf76d41ad0422c2c1ffc9d8419590f1b5357f754dbb2ac47c71c1b113d07,7b4f3cf39ac43acafc62f37574e82fe9091de6c5c9fc8522dd9f05a3d37dab3a,First Party,,ES001,,2021-11-13T11:26:27,Marketing,Opt_in,Omnichannel
bf5e96356295e0f625c2d26cc573e570b038e3ba61865dab29da2df537a5bdfc,4371111cc3a41cec427b2fd9832a3c98554f5a7502c198fe889545ac3609b7d8,First Party,,ES001,,2021-11-04T20:57:30,Marketing,Opt_in,Omnichannel
4572a6f7b64958c8044b0eabe4f6179973f5c128722fe0cc1409a026acdca0e9,5f092d9e36f431e54bc09bd136885c31c9c75c7889418ae968676beee035f0ff,First Party,,ES001,,2021-11-04T11:18:00,Marketing,Opt_in,Omnichannel
ea7fdd3304681b09160b9b991e09e64a710eae5afa5d465fd2675cb6d10e4109,a47b536ccf62e4c6eae9e17b3acec6792a0c0e2c4424722774446de87e0de252,First Party,,ES001,,2021-11-04T10:42:18,Marketing,Opt_out,Omnichannel
d9cf32a33504af35a1c4ca68e490cff424bcf93eb437395e03902628b55f4345,5498fc957b77b7f6cb69db84675e77fa855a31ab700dfc63b917b5b29ef84928,First Party,,ES001,,2021-11-13T11:29:21,Marketing,Opt_in,Omnichannel
d2bdfbf85201f8a6423c6e8c43befa9b5d8d43c17cf6aa0e7ddf708aa72e32bd,3190d9144620b2c26341653ab04da0ee779dded12c664d073323e7adb20096d7,First Party,,ES001,,2021-11-04T16:47:50,Marketing,Opt_in,Omnichannel
7cd881ea35c2915be6a0d7ff65a9a8d6c710c3d299d9cbb2fb4a9a493b380714,e436b7bb07ad56f786d7174b35671325a9193f7fa5edb6c99afddca03c108e02,First Party,,ES001,,2021-11-04T20:08:31,Marketing,Opt_in,Omnichannel
012625d17533c29be1e2a435d0279be956a0f35453493327832764377f5f99de,cdb6fa8e61099a3b9d2535cdf234668c04eeda6224c54117dde956814175a945,First Party,,ES001,,2021-11-04T20:30:11,Marketing,Opt_in,Omnichannel
e6f95905bd18ccaf0847ab59dc02865658c68156ec9138898a13ddb6125f0f0b,7b9a7d0748f126f24aa3f660873993f3623da763ccd024b6e43d8162f5c4fca0,First Party,,ES001,,2021-11-04T16:12:29,Marketing,Opt_out,Omnichannel
3ead65d41594afc2239f520aeb2dc9e4bb0d4fbee0920fc9e63949fd49595a79,c6522670ca90b4ec34ea4dcb31618aaa62f2ca90cc4844317e425c2a2e8240c8,First Party,,ES001,,2021-11-24T15:47:32,Marketing,Opt_in,Omnichannel
76dc8bac6475eb292d3839cc336b55fb3192360cf748781b2f489dfb8adb02e5,9fb1abfbe272d6f30cabe11a1bdaa8a626c4fe7ae9739709b9fdb74e55b5ce34,First Party,,ES001,,2021-11-25T21:35:32,Marketing,Opt_out,Omnichannel
afd254b535557248e66390ecb60e7402e23b4489c1103962cf8565acbe5f6cfe,506d10b0c1ec9612b778b2cd4b0b1fad7f2549293804a08b0650efef9eec5b7f,First Party,,ES001,,2021-11-04T20:37:50,Marketing,Opt_out,Omnichannel
39a35f6b775e8bf06d9e3b7df83e85647d0b932abd344a6488e589846eb2d38c,85fc1f2c05b688023ce95988d8fa83105abe25d074fd5e30f794048b962ae476,First Party,,ES001,,2021-11-04T13:50:21,Marketing,Opt_out,Omnichannel
7b57280ceb143a32d973d3074a5cf405ce6e7bb6af1c90504909dfa13a1ab137,22b2dc098ca0fa19fcd61e1d067992c45485edc2780cc893f2ee4e5956e76b3a,First Party,,ES001,,2021-11-04T18:58:10,Marketing,Opt_out,Omnichannel
18aa97477513e0517f13c90282441d6b931c0087bac37d64d46ff0a9a258080f,5a608f6b0142a2769ad87199cfa7e14c4777fcbef6d6e8edf8803a66dd6b3141,First Party,,ES001,,2021-11-04T21:50:30,Marketing,Opt_in,Omnichannel
a8fdfb9fbeafb4b24b84ae049b76f087d8e02f2db4e1df03f0883193950df347,536ee0a7a16bcf29db8771e99f46211da9cb6aa43cf753b1f755481c095809de,First Party,,ES001,,2021-11-05T09:13:54,Marketing,Opt_in,Omnichannel
2a405cf45f90f307fbeea8fe2285189ee59a10c829e2e5b9462ad73d755c8728,985b028f803c8308542eb528714cdd4fe14a0977c49eec072b2929b09506659b,First Party,,ES001,,2021-11-05T09:15:54,Marketing,Opt_in,Omnichannel
955b2d2913f6985519bb017243e31cb95a9444db0e754471ed45bf978ace0663,5321536df55635170da8156ef291146153c7877ea9b0542c33fc05b90cae9ee0,First Party,,ES001,,2021-11-04T17:49:24,Marketing,Opt_out,Omnichannel
bf7a0672dae1f7c9e99878e91a9989e7c26240ca84a643ca9c9d71580c2c51a1,df9613d3b78352f200d039ca93afe0c6a4af832ad7408d53eaec296fe58c5adf,First Party,,ES001,,2021-11-14T16:38:23,Marketing,Opt_out,Omnichannel
5cf7ae8696174cf68be7ffb155c3ede90671760668f91a561fe2aa582da42f91,51c01c162a1e4ddd5d2f7dd87d06af15dc59481962738ac8d03d6aa2cb4b126d,First Party,,ES001,,2021-11-04T11:43:14,Marketing,Opt_out,Omnichannel
7d27e87d70cc8dc3d9b6be7220a3d9d9a8e4d9f5fa56d6c2d9da9965f216a02b,a318d1c1c6acc219a8819485b0cef93f3709196f935a16f9e6516e8bf6f55c21,First Party,,ES001,,2021-11-04T15:39:53,Marketing,Opt_out,Omnichannel
810ebcf4ef0d29b19b3ddc6b492036faa5be984c3c047e95fe52cc8f624d2967,a798065bcae6d508c8e78278465b3cfa05b4a5c7a729867e332fa80c8454fc74,First Party,,ES001,,2022-02-23T16:52:59,Marketing,Opt_in,Omnichannel
db9de1158010a2700e09bfa944f5141384e2c46b6cb873cee008517949466b11,824bc8996d2c68c408540cbf5a6722b30b720308fe4e2f58f9682c58cfedf007,First Party,,ES001,,2021-11-13T21:25:05,Marketing,Opt_out,Omnichannel
a594288ad911e072e754fbac736e236b76be48a06cb2d243f0c30e2295366944,ef10dd052512e0aa9a042575265e820cb072516baeffebf551f266ed9b0f3d75,First Party,,ES001,,2021-11-05T09:33:15,Marketing,Opt_in,Omnichannel
873ba42b5fff82e3ec636f8155e813b9a4f99b91e51d15242de6a43d9675a7b1,809f5ec653d19e3b59020aaf5f032eee7af52db006f0c43b0760917f90d2e447,First Party,,ES001,,2022-02-17T00:06:08,Marketing,Opt_in,Omnichannel
71fbd8910a3ea3d0967313ea691f688221627784366a4690447f604e91f3049a,3e23b0e887e0db413175b7404089f8979491dea9a8293ebff4db670e0b99a8ab,First Party,,ES001,,2021-11-04T20:12:27,Marketing,Opt_out,Omnichannel
039a55b0047ba31fd0a9721db249d7b525fcf0208ac4a1801d6e935023c5dcc3,3a4a7984b19cff0d88bfa63a012ebbc488014a905698a1c70c44a2cc20944a81,First Party,,ES001,,2021-11-04T16:44:55,Marketing,Opt_in,Omnichannel
668b809d8c6359be28be5c8465bfa2e5f7804a096d8d1a2392755df20139d5c5,7857ba9a324818b757f2c3d5d0b442faf94de31ea4270afb9d35e6dd0097b737,First Party,,ES001,,2021-11-04T10:25:35,Marketing,Opt_out,Omnichannel
28539138cb255fd10616dd6dfcc9112a670c3b102e83c3d8cde010274e76546c,97b66d0a4fe6c839302a87909c07d3104e0c860e48a08732f09a2bb0d61bdbea,First Party,,ES001,,2021-11-15T10:27:49,Marketing,Opt_in,Omnichannel
4e40d9a5d281f60b304901f94638e4f4d9cd2c7e056ec7e30217ace079086f17,842d7567c53ea5eb1626c5a76ec5932f76a275f5fff93a493ed2ed803f2944ce,First Party,,ES001,,2021-11-11T20:57:59,Marketing,Opt_out,Omnichannel
81278cf139145db34bb4f97a6d967393631b2edfdf1b10964d238efd5e0bc0bd,892d6a03c5443782608ed587426931b43812fc2844a51f355f7f04443652e0c8,First Party,,ES001,,2021-11-04T20:34:20,Marketing,Opt_out,Omnichannel
46660b11fb8bc88a143041f6d5c06af693c9691eb36f2680b0a44e116a2d4cd6,df5c38107b83d0d49acd0647f4a2cd35a6d9ed78ff1d0ad0ff052bb861f11de1,First Party,,ES001,,2021-11-04T10:11:39,Marketing,Opt_in,Omnichannel
ddb3481074b1adbb418446f2547d8f3a2123689adf3906f310d33ff07b70c9f0,5fce501644c8c42ec0e363e566904b36f6e96788e18e966d5cc7ab640f7b0034,First Party,,ES001,,2022-01-19T18:33:34,Marketing,Opt_in,Omnichannel
6076c4c164eb324d7da1524dc74bcfe98ed0bc82a57067a1daa48d31cdb17af5,1a3e33acc5bbcb834a2e6d1b8ce170c0e6d603b9f1fa1978bc47749aa669f51f,First Party,,ES001,,2021-11-04T14:29:27,Marketing,Opt_out,Omnichannel
a40eeabefafe5599d5e4e424fafa11aa3e6f60b9e88cc403cbb1f1e5e1ae3252,65bcfbcf871573b0b1672b1e590b0bc77b0968705934e3488d30350e56e55321,First Party,,ES001,,2021-11-04T21:31:49,Marketing,Opt_out,Omnichannel
be9a1aa905a7afdefd68519f11a139da96e2f85bf3eab41d45099bd0274de005,05020d38b35292a5ce4d630add7de291e2380b0e24d22cd6d0365278148a4f4b,First Party,,ES001,,2021-11-04T21:53:25,Marketing,Opt_in,Omnichannel
6a8f319c6e3710a79ec3e238e4c007d1c52b5a110edd95f6148ed85b1bcf9b03,fd309e5f58f0c1c5b523f42e863c3b02d86b5b19fbe79ca50ff6e02a4e8c0a2b,First Party,,ES001,,2021-11-04T14:30:35,Marketing,Opt_out,Omnichannel
56a8a007884d6f1ec83c43ab81f05b5411d1106299f832eab1e7777888b0da56,643635351ccdffe32bcd7350355ab2cf12d75e8fbf6e9d1b19497f1091c26d78,First Party,,ES001,,2021-12-08T13:36:41,Marketing,Opt_in,Omnichannel
922f669c713da794f26f18f00a90bbddfd8642b2b73aa0dcde64810b59a995c8,e9a8ddb4b782747723058228a3f3c82e62d3f4cdbb02a3c56eb8d9971c87958b,First Party,,ES001,,2021-12-09T12:37:25,Marketing,Opt_in,Omnichannel
93523a2ce68675d1124b7b4f5d9450e0e92f6fc06438a55e611d9424169f9568,901c64d661d7f39e58e5e3ebf51b09241c2dd2b3fcdfaed70661fdc0a90046e0,First Party,,ES001,,2022-02-27T16:12:57,Marketing,Opt_out,Omnichannel
4c30393009f3e68548289e49162ec3d40486f1532d78a8b8d6b3f1752e532207,02580f6dc0e876606fbaa270cb5a29aa19b37c5a93bb441e3476ba9ed77411d5,First Party,,ES001,,2021-11-05T09:21:25,Marketing,Opt_out,Omnichannel
d4edbf1100e3ad85e3a56d28320871dc1da2e662c09d3d3af7e5b5cc0063cf8f,3dc45f29a09d0bbbc7de7e7d33436aa079a60b712860b6beaaa519f54f494dcb,First Party,,ES001,,2021-11-04T18:00:32,Marketing,Opt_out,Omnichannel
e61c41f19449704b408335ee137b119275cb40040a8d4fa711b5117db8796042,6f52abcca5cda1745c28c6c7236c2ea7a77af6570a4911d7a7dd18d16c2a7f44,First Party,,ES001,,2022-02-21T09:11:01,Marketing,Opt_in,Omnichannel
ac063cd9dd39371107e52cec31ff4470ea66758cf8d85b605eb7fc6805ef1948,5f601a5d9eeb91d8c8f0dbafe4bceb4631bf3453f72f9ca29626c24ef99ce2c2,First Party,,ES001,,2021-11-04T22:47:11,Marketing,Opt_in,Omnichannel
cf085be741a68803bdb0c5aa7f072a905ad133e9b54f14006ee3c5db790a92ec,7aec4b812be8d2cbfcf8ee629402394e20cf85808095ca9f3af719e2ac6b81a7,First Party,,ES001,,2021-11-13T08:38:30,Marketing,Opt_out,Omnichannel
31c94d1077bd844c30e748475af458bbda8de05f029b247154a4334005c26aa4,c8a1868aa182d53a22ee2ab5a4990ae6e38c420dc65ac1ffb392b2cde5a9e553,First Party,,ES001,,2021-11-04T21:42:47,Marketing,Opt_in,Omnichannel
18d3cd0213aa97ca6f4f9ed3f67a201fd5abf235589b835316fe08b9400ca069,423306dc9aff0d8e0cf300665e0152f370854e43632e99b5f1243059c05f6f2f,First Party,,ES001,,2021-11-11T19:07:24,Marketing,Opt_out,Omnichannel
39196f73a1cb1bf87905cf5b03d299eac4d94f9c629fa6b26ed22b45dd6cdcc6,b65f1517e5fdc637f6d13ab85b92df8e6909a306e111b7cfac55db0cc009d650,First Party,,ES001,,2021-11-04T11:42:20,Marketing,Opt_in,Omnichannel
6cfade4b37c3286faa5b3292659560ca3ec6e044c2c123b642fa3bae8868177d,546104401af3c3c7ecf88fbe3ba08c92026845d8e5c83e1fb495d98983b0894d,First Party,,ES001,,2021-11-19T09:48:26,Marketing,Opt_in,Omnichannel
b95128a568daf09324143011f26ada17982cfdb3f7032ad1229606dad3a7d1d3,b205112e28fdb1e1be96b8caaa245c4e33c3b4022fd638ec311a0370c90652b3,First Party,,ES001,,2021-11-12T12:01:53,Marketing,Opt_out,Omnichannel
fa7ba0cb5fff0e6329e0d6d47ff8a60be788c4c3841ee4cdcd60ae7452ba25b7,95fe6d4404c34f791a8506230ea448b0b5addf6806bbea8d9dad5c8560c93117,First Party,,ES001,,2021-11-04T10:24:54,Marketing,Opt_in,Omnichannel
3ec94578c31f6bad0d9b51daaca719823d4391b1a51346b7d1c1d9f6b53c2ea9,329ee866e10301115358f0528add9edaca08192279657ed2412942ee91f9654a,First Party,,ES001,,2021-11-04T16:59:01,Marketing,Opt_out,Omnichannel
f978f65cef16cf4ed4449a0cd715c42b855b0b1bd025a7d20e747b082c70f998,7dadec7bfe70f50606c5c03177c322ef12d44595ccc933ab27ea09a3b95ce08b,First Party,,ES001,,2021-11-05T14:57:19,Marketing,Opt_in,Omnichannel
42b4cc188d7437be2bbba5fe7ece13d989f8f12d30911af83326e2bc590bc139,fc76027a59cfd06f2b39773636982beff4baa59f2c2d7f546d395df8b9b434f2,First Party,,ES001,,2021-11-04T12:48:39,Marketing,Opt_out,Omnichannel
f1a3c1b1010400191a34a97a809114a4d71f063e68e4418df6ba7ff67eeff175,7a787426eee324cc0c382b220bf7a290c9dbce4d0c97a89930782c322dbc2ae3,First Party,,ES001,,2021-12-02T17:16:12,Marketing,Opt_out,Omnichannel
e77b973015ad68ea0a1c69577a1169822678fe506ecf092c6870b555ef2feacb,6de8897420d3c48e324c25ab84f5ec10f33921d4a8d2822fce00e05732c10c9c,First Party,,ES001,,2021-11-04T17:27:53,Marketing,Opt_out,Omnichannel
e229fb036061e0ba79876875437889840e871645e46545632e8fe59954316db1,07f0ab2eed107693c246d06411c77d9fe5a4dec456f73ed80abd5e98eb214ee5,First Party,,ES001,,2021-11-15T19:49:18,Marketing,Opt_in,Omnichannel
dea08497c5308b8178c834f4db54883efe509033321db9181d621fcd65e0efa3,96f52f5e42b17102a791a59f5138d0f11e52366209b890d5e3f858a9957ea04c,First Party,,ES001,,2021-11-04T19:37:17,Marketing,Opt_in,Omnichannel
0f421503267d43e2d36aef83b044e726f5f360ae7e33e08b828e9cbf9e656f79,8ed61b00a581f951dd921397e383976699ba17649e678c48f2679433029d925d,First Party,,ES001,,2021-11-24T20:38:38,Marketing,Opt_in,Omnichannel
a58beec64efa4fd22bb6aaf98bc204cb81cae98e6f6740983a03aee33066dde4,e81c728983e9d07689bbb418777825ae252dc6c39b0b620fddfd755e5fcb26bb,First Party,,ES001,,2021-11-04T11:38:59,Marketing,Opt_in,Omnichannel
5fcf697d7c5682fec934ccb7d921a347b4d7832ab03e75a07af0ea60d3d00831,8cce9ea85af892c96a4f586b6721384e6e40a0c8e1f61a857112923d13d1d2e3,First Party,,ES001,,2021-11-11T09:34:06,Marketing,Opt_in,Omnichannel
eb748eb91a8ae6ba8b25df1800086b33e11ab09cd4b79c8d508443a642c7f3b2,4e8a8167f52041b84a4ff513abe9448b065f90ee73ec0269979713295489e320,First Party,,ES001,,2021-11-05T13:17:39,Marketing,Opt_out,Omnichannel
5064b1b52c829904d06dccad241e3db42ba96c87562114d378a38b763fd4838c,77f45b945eaea20cb0b728c893b908d7b71696a4443a77f41a00e184aaf049a6,First Party,,ES001,,2021-11-18T09:27:02,Marketing,Opt_in,Omnichannel
3f8ffc3e67911184c9f764b31da52a0ba04caab5bb31be34ab81bb8b8434857d,0616f6c7bb05ff42697a788acf873447e7c3f7db7e29afbc5f908149e230d80f,First Party,,ES001,,2021-11-04T11:11:37,Marketing,Opt_in,Omnichannel
1b7f79e51859532db456ff26f140123a0a2277c5391b1c48b959997af204bc58,dec33ee10432251e9d871d16c5d0df7500baa0a09f62302b03dc11140201dc6f,First Party,,ES001,,2021-11-04T19:04:13,Marketing,Opt_in,Omnichannel
5a7dcad3b36ed98d78e9f5f2f797ab94fcf42e1d4b041bd31a629bfc568fddc6,9109bb0f4825b15cb5cce8ebbcf6a5991a0fb04566dd0ab2c00af4378ead9366,First Party,,ES001,,2021-11-04T18:57:08,Marketing,Opt_in,Omnichannel
